Date,Aapl,Adbe,CVX,Goog,IBM,Mdlz,Msft,Nflx,Orcl,Sbux
2015-08-03,109.361488,78.57,75.875786,647.820007,140.030304,41.320961,41.820564000000005,115.029999,36.237648,53.48838000000001
2015-09-01,106.975632,82.220001,73.899025,638.369995,137.26548799999998,41.005852000000004,42.531665999999994,103.260002,35.289936,55.57082
2015-10-01,115.89834599999999,88.660004,85.141266,737.3900150000001,132.63536100000002,45.207314000000004,50.584435,108.379997,38.098255,61.172874
2015-11-02,115.225647,91.459999,86.598373,762.849976,133.248718,42.758907,52.579689,123.33000200000001,38.225773,60.213558
2015-12-01,102.524529,93.940002,85.308685,778.01001,131.52839699999998,44.080826,53.672881999999994,114.379997,35.832371,58.879619999999996
2016-01-04,94.81034100000001,89.129997,81.999138,761.349976,119.26631200000001,42.370281,53.295586,91.839996,35.763424,59.605438
2016-02-01,94.688271,85.150002,80.12941,717.219971,126.509262,39.843796000000005,49.57613,93.410004,36.226345,57.281075
2016-03-01,106.73362,93.800003,91.61488299999999,762.900024,146.22473100000002,39.611477,53.814655,102.230003,40.294178,58.747299
2016-04-01,91.799339,94.220001,98.125877,707.880005,140.904846,42.415478,48.592009999999995,90.029999,39.40633,55.332671999999995
2016-05-02,98.388046,99.470001,98.018005,748.849976,149.868225,43.92609,52.003006,102.57,39.742461999999996,54.203049
2016-06-01,94.190842,95.790001,101.734932,703.530029,147.957581,45.118515,50.207428,91.480003,40.464153,56.40514
2016-07-01,102.673927,97.860001,99.45431500000001,791.340027,156.574951,43.601677,55.613781,91.25,40.722141,57.323502000000005
2016-08-01,105.102364,102.309998,98.638901,789.849976,156.2164,44.632732,56.730499,97.449997,40.900745,55.719654000000006
2016-09-01,111.98701499999999,108.540001,100.933739,804.0599980000001,156.186905,43.714809,56.868720999999994,98.550003,38.975769,53.648621
2016-10-03,112.472404,107.510002,102.728424,809.900024,151.113403,44.75042,59.15926700000001,124.870003,38.270115000000004,52.588333
2016-11-01,110.0429,102.809998,110.502274,775.880005,160.947403,41.066032,59.896873,117.0,40.033211,57.709953000000006
2016-12-01,115.32002299999999,102.949997,116.584061,792.450012,164.687836,44.330002,61.765544999999996,123.800003,38.299999,55.270943
2017-01-03,121.10493500000001,113.82,110.75981100000001,823.830017,174.420883,44.43,64.737526,141.220001,40.23,55.649239
